labels,sentences
0,Brenda and John are melancholy .
0,Brenda and John are mournful .
0,Brenda and John are somber .
0,Brenda and John are sorrowful .
1,Brenda and Mary are cheerful .
1,Brenda and Mary are contented .
1,Brenda and Mary are delighted .
1,Brenda and Mary are glad .
1,Brenda and Mary are satisfied .
1,Brenda and Mary are thrilled .
1,Brenda and Mary are pleased .
0,Brenda and Mary are unhappy .
0,Brenda and Mary are bitter .
0,Brenda and Mary are dismal .
0,Brenda and Mary are heartbroken .
0,Brenda and Mary are melancholy .
0,Brenda and Mary are mournful .
0,Brenda and Mary are somber .
0,Brenda and Mary are sorrowful .
1,Brenda and Bob are cheerful .
1,Brenda and Bob are contented .
1,Brenda and Bob are delighted .
1,Brenda and Bob are glad .
1,Brenda and Bob are satisfied .
1,Brenda and Bob are thrilled .
1,Brenda and Bob are pleased .
0,Brenda and Bob are unhappy .
0,Brenda and Bob are bitter .
0,Brenda and Bob are dismal .
0,Brenda and Bob are heartbroken .
0,Brenda and Bob are melancholy .
0,Brenda and Bob are mournful .
0,Brenda and Bob are somber .
0,Brenda and Bob are sorrowful .
1,Brenda and Louis are cheerful .
1,Brenda and Louis are contented .
1,Brenda and Louis are delighted .
1,Brenda and Louis are glad .
1,Brenda and Louis are satisfied .
1,Brenda and Louis are thrilled .
1,Brenda and Louis are pleased .
0,Brenda and Louis are unhappy .
0,Brenda and Louis are bitter .
0,Brenda and Louis are dismal .
0,Brenda and Louis are heartbroken .
0,Brenda and Louis are melancholy .
0,Brenda and Louis are mournful .
0,Brenda and Louis are somber .
0,Brenda and Louis are sorrowful .
1,Brenda and Igor are cheerful .
1,Brenda and Igor are contented .
1,Brenda and Igor are delighted .
1,Brenda and Igor are glad .
1,Brenda and Igor are satisfied .
1,Brenda and Igor are thrilled .
1,Brenda and Igor are pleased .
0,Brenda and Igor are unhappy .
0,Brenda and Igor are bitter .
0,Brenda and Igor are dismal .
0,Brenda and Igor are heartbroken .
0,Brenda and Igor are melancholy .
0,Brenda and Igor are mournful .
0,Brenda and Igor are somber .
0,Brenda and Igor are sorrowful .
1,Brenda and Mike are cheerful .
1,Brenda and Mike are contented .
1,Brenda and Mike are delighted .
1,Brenda and Mike are glad .
1,Brenda and Mike are satisfied .
1,Brenda and Mike are thrilled .
1,Brenda and Mike are pleased .
0,Brenda and Mike are unhappy .
0,Brenda and Mike are bitter .
0,Brenda and Mike are dismal .
0,Brenda and Mike are heartbroken .
0,Brenda and Mike are melancholy .
0,Brenda and Mike are mournful .
0,Brenda and Mike are somber .
0,Brenda and Mike are sorrowful .
1,Brenda and Patricia are cheerful .
1,Brenda and Patricia are contented .
1,Brenda and Patricia are delighted .
1,Brenda and Patricia are glad .
1,Brenda and Patricia are satisfied .
1,Brenda and Patricia are thrilled .
1,Brenda and Patricia are pleased .
0,Brenda and Patricia are unhappy .
0,Brenda and Patricia are bitter .
0,Brenda and Patricia are dismal .
0,Brenda and Patricia are heartbroken .
0,Brenda and Patricia are melancholy .
0,Brenda and Patricia are mournful .
0,Brenda and Patricia are somber .
0,Brenda and Patricia are sorrowful .
1,Brenda and James are cheerful .
1,Brenda and James are contented .
1,Brenda and James are delighted .
1,Brenda and James are glad .
1,Brenda and James are satisfied .
1,Brenda and James are thrilled .
1,Brenda and James are pleased .
0,Brenda and James are unhappy .
0,Brenda and James are bitter .
0,Brenda and James are dismal .
0,Brenda and James are heartbroken .
0,Brenda and James are melancholy .
0,Brenda and James are mournful .
0,Brenda and James are somber .
0,Brenda and James are sorrowful .
1,Brenda and Lisa are cheerful .
1,Brenda and Lisa are contented .
1,Brenda and Lisa are delighted .
1,Brenda and Lisa are glad .
1,Brenda and Lisa are satisfied .
1,Brenda and Lisa are thrilled .
1,Brenda and Lisa are pleased .
0,Brenda and Lisa are unhappy .
0,Brenda and Lisa are bitter .
0,Brenda and Lisa are dismal .
0,Brenda and Lisa are heartbroken .
0,Brenda and Lisa are melancholy .
0,Brenda and Lisa are mournful .
0,Brenda and Lisa are somber .
0,Brenda and Lisa are sorrowful .
1,Brenda and Ashley are cheerful .
1,Brenda and Ashley are contented .
1,Brenda and Ashley are delighted .
1,Brenda and Ashley are glad .
1,Brenda and Ashley are satisfied .
1,Brenda and Ashley are thrilled .
1,Brenda and Ashley are pleased .
0,Brenda and Ashley are unhappy .
0,Brenda and Ashley are bitter .
0,Brenda and Ashley are dismal .
0,Brenda and Ashley are heartbroken .
0,Brenda and Ashley are melancholy .
0,Brenda and Ashley are mournful .
0,Brenda and Ashley are somber .
0,Brenda and Ashley are sorrowful .
1,Brenda and Carol are cheerful .
1,Brenda and Carol are contented .
1,Brenda and Carol are delighted .
1,Brenda and Carol are glad .
1,Brenda and Carol are satisfied .
1,Brenda and Carol are thrilled .
1,Brenda and Carol are pleased .
0,Brenda and Carol are unhappy .
0,Brenda and Carol are bitter .
0,Brenda and Carol are dismal .
0,Brenda and Carol are heartbroken .
0,Brenda and Carol are melancholy .
0,Brenda and Carol are mournful .
0,Brenda and Carol are somber .
0,Brenda and Carol are sorrowful .
